transactie_id,datum,ministerie,categorie,leverancier,begroot_bedrag,werkelijk_bedrag,betaalstatus,inkoopmethode,factuurnummer,omschrijving
TRX-006130,2026-09-22,Ministerie van Infrastructuur en Waterstaat,Inkoop,Onderzoek & Advies BV,9118.6,8524.99,Betaald,Meervoudig onderhands,INV-2026-006130,Materiaalinkoop
TRX-002699,2026-01-10,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Insight Partners,2413.22,1889.8,Betaald,Aanbesteding,INV-2026-002699,Kantoorhuur
TRX-005856,2026-11-02,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,GovTech Nederland,16823.12,11888.07,Betaald,Meervoudig onderhands,INV-2026-005856,Beleidsonderzoek
TRX-002242,2026-11-26,Ministerie van Economische Zaken,Reizen,Insight Partners,11952.81,14592.07,Betaald,Enkelvoudig onderhands,INV-2026-002242,Hotelkosten
TRX-001613,2026-02-09,Ministerie van Infrastructuur en Waterstaat,Personeel,Nationale Services,278.66,350.91,Betaald,Raamovereenkomst,INV-2026-001613,Tijdelijke ondersteuning
TRX-004173,2026-05-21,Ministerie van Infrastructuur en Waterstaat,Onderzoek,SecureIT Nederland,3375.45,3886.03,Betaald,Aanbesteding,INV-2026-004173,Marktonderzoek
TRX-002654,2026-03-22,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,Nationale Services,1868.36,1288.44,Betaald,Aanbesteding,INV-2026-002654,Energievoorziening
TRX-000896,2026-08-20,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,Delta Consulting,4871.48,4249.65,Betaald,Meervoudig onderhands,INV-2026-000896,Internationale reis
TRX-004503,2026-06-15,Ministerie van Economische Zaken,Huisvesting,Insight Partners,1340.8,1457.78,Betaald,Enkelvoudig onderhands,INV-2026-004503,Kantoorhuur
TRX-001603,2026-06-04,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Inkoop,Insight Partners,12523.43,9361.98,Openstaand,Aanbesteding,INV-2026-001603,Materiaalinkoop
TRX-007008,2026-04-22,Ministerie van Economische Zaken,Reizen,SecureIT Nederland,5057.61,3755.73,Betaald,Enkelvoudig onderhands,INV-2026-007008,Treinkosten
TRX-004101,2026-03-15,Ministerie van Financiën,Advies,Delta Consulting,3143.61,3452.01,Betaald,Aanbesteding,INV-2026-004101,Procesadvies
TRX-003856,2026-07-31,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Nationale Services,21085.27,14677.34,Betaald,Meervoudig onderhands,INV-2026-003856,Hardware en werkplekken
TRX-005427,2026-10-15,Ministerie van Financiën,Onderzoek,Insight Partners,2170.33,2190.08,Betaald,Aanbesteding,INV-2026-005427,Marktonderzoek
TRX-004054,2026-10-02,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Insight Partners,13360.25,11604.5,Betaald,Meervoudig onderhands,INV-2026-004054,Kantoorartikelen
TRX-001020,2026-12-16,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,Delta Consulting,6857.66,7950.25,Betaald,Meervoudig onderhands,INV-2026-001020,Evaluatieonderzoek
TRX-001070,2026-04-19,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,GovTech Nederland,16845.81,18546.26,Betaald,Raamovereenkomst,INV-2026-001070,Marktonderzoek
TRX-002949,2026-06-17,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Insight Partners,20895.1,21469.19,Betaald,Raamovereenkomst,INV-2026-002949,Applicatiebeheer
TRX-001077,2026-01-14,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Onderzoek & Advies BV,932.93,1049.1,Betaald,Raamovereenkomst,INV-2026-001077,Cloudhosting
TRX-003793,2026-04-13,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,SecureIT Nederland,4338.03,5727.64,Betaald,Meervoudig onderhands,INV-2026-003793,Personeelsadvies
TRX-006271,2026-03-20,Ministerie van Infrastructuur en Waterstaat,Advies,Publieke Diensten BV,1433.08,1289.57,Betaald,Raamovereenkomst,INV-2026-006271,Strategisch advies
TRX-004496,2026-04-05,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Onderzoek,Nationale Services,5465.92,6208.93,Geannuleerd,Meervoudig onderhands,INV-2026-004496,Beleidsonderzoek
TRX-006061,2026-07-26,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Onderzoek,SecureIT Nederland,860.88,730.35,Betaald,Aanbesteding,INV-2026-006061,Beleidsonderzoek
TRX-005228,2026-03-24,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Infra Solutions,2507.65,2775.83,Openstaand,Meervoudig onderhands,INV-2026-005228,Cybersecuritydiensten
TRX-001967,2026-07-02,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,Publieke Diensten BV,21515.22,20212.66,Openstaand,Aanbesteding,INV-2026-001967,Onderhoud gebouw
TRX-003968,2026-10-01,Ministerie van Economische Zaken,Huisvesting,Nationale Services,3107.63,2611.95,Betaald,Enkelvoudig onderhands,INV-2026-003968,Onderhoud gebouw
TRX-005948,2026-08-27,Ministerie van Economische Zaken,Personeel,SecureIT Nederland,1283.2,1397.49,Betaald,Enkelvoudig onderhands,INV-2026-005948,Externe inhuur
TRX-007252,2026-01-16,Ministerie van Financiën,Onderzoek,Infra Solutions,2630.71,2998.64,Openstaand,Raamovereenkomst,INV-2026-007252,Beleidsonderzoek
TRX-003191,2026-03-28,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,CloudWorks BV,24475.45,22654.25,Openstaand,Raamovereenkomst,INV-2026-003191,Applicatiebeheer
TRX-004695,2026-01-25,Ministerie van Economische Zaken,Advies,Publieke Diensten BV,7077.9,7156.23,Betaald,Aanbesteding,INV-2026-004695,Organisatieadvies
TRX-000703,2026-03-12,Ministerie van Sociale Zaken en Werkgelegenheid,Reizen,Onderzoek & Advies BV,10790.09,12209.01,Geannuleerd,Raamovereenkomst,INV-2026-000703,Treinkosten
TRX-005131,2026-06-20,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,SecureIT Nederland,4310.97,4058.76,Betaald,Aanbesteding,INV-2026-005131,Facilitaire diensten
TRX-002386,2026-10-03,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,SecureIT Nederland,25241.37,21401.57,Openstaand,Enkelvoudig onderhands,INV-2026-002386,Strategisch advies
TRX-003270,2026-12-13,Ministerie van Infrastructuur en Waterstaat,ICT,Insight Partners,12213.29,9832.1,Betaald,Meervoudig onderhands,INV-2026-003270,Hardware en werkplekken
TRX-005486,2026-12-14,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Nationale Services,3006.73,3209.95,Betaald,Enkelvoudig onderhands,INV-2026-005486,Facilitaire diensten
TRX-005969,2026-06-02,Ministerie van Financiën,ICT,GovTech Nederland,6968.8,7993.24,Betaald,Aanbesteding,INV-2026-005969,Hardware en werkplekken
TRX-004983,2026-03-09,Ministerie van Financiën,ICT,SecureIT Nederland,9410.43,7188.12,Openstaand,Meervoudig onderhands,INV-2026-004983,Cloudhosting
TRX-001578,2026-08-18,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,SecureIT Nederland,6389.16,7257.35,Betaald,Raamovereenkomst,INV-2026-001578,Strategisch advies
